id_usuario,idade,genero,pais,ocupacao,nivel_renda,anos_jogando,genero_preferido,plataforma,tipo_dispositivo,nivel_ranqueado,horas_jogo_diarias,sessoes_semanais,horas_madrugada,horas_fim_de_semana,max_horas_consecutivas,proporcao_multiplayer,denuncias_chat_toxico,frequencia_rage_quit,compras_no_jogo,gasto_mensal_usd,aberturas_lootbox,status_assinatura,score_estresse,score_solidao,indice_dependencia_dopamina,score_autocontrole,score_impulsividade,nivel_ansiedade,indicador_depressao,estabilidade_emocional,horas_sono,exercicios_por_semana,xicaras_cafeina_dia,horas_interacao_social,status_relacionamento,nota_ou_performance,prazos_perdidos,queda_produtividade_percentual,dias_absenteismo,velocidade_internet_mbps,horas_tela_total,cluster_comportamental,score_dependencia,dependencia_binaria,severidade_dependencia,probabilidade_burnout,score_risco_saude_mental,probabilidade_churn
USR000067,19,Masculino,Estados Unidos,Desempregado,Média,7,Casual,PC,PC high-end,Bronze,"7,6",10,"4,0","12,8","11,4","0,59",0,3,0,"26,9",8,Básica,"7,1","7,0","5,4","8,5","3,8","8,7","6,6","6,1","5,2",0,4,"3,6",Em um relacionamento,"4,0",5,"3,5",3,"136,4","10,4",Competidor intenso,"42,42",0,Moderada,"1,0","0,765","0,829"
USR000068,20,Feminino,Austrália,Empregado,Média,6,MMORPG,PC e mobile,Notebook,Diamante,"7,9",9,"2,9","12,6","13,4","0,42",3,1,13,"74,34",11,Premium,"9,0","6,5","3,6","4,4","6,6","4,0","5,5","7,8","6,4",0,1,"2,3",Em um relacionamento,"4,0",0,"6,9",8,"116,7","10,2",Competidor intenso,"43,58",0,Moderada,"1,0","0,475","0,638"
USR000069,17,Masculino,Estados Unidos,Estudante,Média,3,Estratégia,PC,Console,Ouro,"9,2",14,"4,7","10,1","18,4","0,45",0,2,0,"29,02",7,Ultimate,"5,1","6,4","6,0","8,3","4,7","4,4","4,0","8,1","7,0",1,0,"3,6",Em um relacionamento,"2,47",4,"30,3",5,"98,6","12,4",Streamer/Criador,"45,2",0,Moderada,"1,0","0,42","0,78"
USR000070,22,Nao binario,China,Empregado,Média-alta,10,Sandbox,Console,PC high-end,Diamante,"10,4",12,"3,2","13,5","18,5","0,21",0,1,8,"41,44",7,No subscription,"4,6","3,3","7,8","4,8","5,0","3,2","2,0","7,4","6,2",1,1,"5,6",Em um relacionamento,"4,0",3,"25,2",8,"208,5","11,5",Streamer/Criador,"63,24",1,Severa,"1,0","0,26","0,622"
USR000071,21,Feminino,Austrália,Estudante,Baixa,9,Sandbox,PC e mobile,Console,Prata,"6,8",5,"2,3","10,5","16,4","0,63",0,0,2,"0,0",0,Premium,"9,2","2,6","5,3","5,3","4,0","5,1","2,1","5,0","5,2",2,3,"1,2",Solteiro,"3,03",3,"4,4",8,"189,8","9,0",Jogador compulsivo,"48,23",0,Moderada,"1,0","0,36","0,531"
USR000072,28,Feminino,Estados Unidos,Estudante,Baixa,13,RPG,Mobile,Mobile,Diamante,"9,1",8,"4,1","10,4","14,8","0,54",18,5,2,"24,28",2,No subscription,"6,4","2,9","5,3","6,6","3,2","5,0","4,1","6,0","4,4",0,4,"5,2",Solteiro,"3,61",8,"21,1",9,"97,2","11,5",Competidor toxico,"49,73",0,Moderada,"1,0","0,455","0,826"
USR000073,28,Masculino,Canadá,Empregado,Média-baixa,16,MMORPG,PC,Notebook,Platina,"7,6",10,"2,6","10,7","9,0","0,33",2,0,1,"21,34",12,No subscription,"8,2","4,1","6,2","7,8","4,6","6,0","5,0","9,4","7,1",0,3,"0,6",Em um relacionamento,"4,0",8,"43,8",1,"106,2","10,7",Streamer/Criador,"47,85",0,Moderada,"1,0","0,55","0,802"
USR000074,22,Masculino,Estados Unidos,Desempregado,Média-alta,10,Estratégia,PC e console,Console,Prata,"5,5",6,"3,1","7,6","8,6","0,37",8,5,9,"33,68",11,Premium,"6,0","8,1","3,7","7,0","2,8","5,4","5,3","7,3","5,7",1,2,"1,9",Solteiro,"4,0",3,"21,2",4,"94,2","7,3",Competidor toxico,"34,84",0,Leve,"1,0","0,535","0,843"
USR000075,21,Feminino,México,Freelancer,Média,9,Battle Royale,PC e mobile,Mobile,Bronze,"2,4",1,"0,8","3,9","5,5","0,59",0,0,0,"56,87",12,Premium,"7,8","6,7","4,2","6,2","6,6","6,2","4,9","5,1","8,4",0,0,"4,0",Solteiro,"4,0",0,"20,9",3,"158,7","5,5",Jogador casual,"24,73",0,Leve,"1,0","0,555","0,678"
USR000076,35,Masculino,Brasil,Empregado,Média-alta,23,Casual,PC,Notebook,Prata,"5,8",7,"1,4","5,1","10,3","0,38",16,6,15,"98,04",16,Premium,"7,0","2,6","1,7","3,8","6,5","4,3","2,2","4,2","6,9",3,4,"2,5",Em um relacionamento,"4,0",0,"27,2",0,"36,2","9,2",Competidor toxico,"39,93",0,Leve,"1,0","0,325","0,892"
USR000077,28,Masculino,Outro,Estudante,Média-baixa,16,Estratégia,Console,PC intermediario,Bronze,"0,5",1,"0,0","0,8","1,0","0,43",0,0,2,"26,8",7,Premium,"4,2","4,0","1,0","8,0","2,8","2,0","1,0","7,6","8,3",3,3,"0,3",Em um relacionamento,"3,2",0,"0,0",6,"166,5","2,7",Jogador casual,"14,7",0,Witout addiction,"1,0","0,15","0,434"
USR000078,21,Masculino,Estados Unidos,Empregado,Média,9,MMORPG,PC,PC intermediario,Ouro,"9,1",13,"3,5","17,7","15,2","0,57",5,2,0,"26,95",9,Básica,"3,9","4,7","7,8","6,9","4,5","2,2","3,0","5,1","4,7",1,0,"1,7",Casado,"4,0",5,"31,6",6,"67,3","11,9",Competidor intenso,"51,82",1,Moderada,"1,0","0,26","0,607"
USR000079,19,Feminino,Estados Unidos,Empregado,Média-alta,7,Sandbox,PC,Misto,Platina,"9,5",8,"4,4","11,7","16,0","0,67",2,3,7,"110,37",27,Premium,"7,5","5,5","5,7","5,8","7,9","4,1","4,0","4,1","6,2",1,2,"3,5",Em um relacionamento,"4,0",5,"24,6",6,"64,9","11,5",Jogador compulsivo,"55,86",1,Moderada,"1,0","0,405","0,836"
USR000080,19,Masculino,Austrália,Estudante,Média-alta,7,Sandbox,PC e console,Misto,Mestre,"8,0",9,"3,1","7,0","12,1","0,69",1,0,7,"93,86",18,No subscription,"5,5","2,2","6,8","3,3","6,7","5,9","1,5","5,7","4,8",0,2,"3,2",Solteiro,"2,17",4,"33,6",8,"134,2","9,0",Streamer/Criador,"57,23",1,Moderada,"1,0","0,37","0,803"
USR000081,21,Feminino,Estados Unidos,Estudante,Média-baixa,9,FPS,Mobile,Misto,Ouro,"8,7",9,"3,3","9,0","16,7","0,74",0,1,0,"13,96",0,No subscription,"9,3","2,5","5,5","7,4","5,3","8,3","3,4","3,4","6,2",1,1,"3,5",Solteiro,"2,97",1,"4,3",7,"117,1","11,4",Jogador compulsivo,"45,88",0,Moderada,"1,0","0,585","0,787"
USR000082,29,Feminino,Alemanha,Empregado,Média,17,RPG,PC e console,PC intermediario,Platina,"0,9",1,"1,3","1,8","1,2","0,39",2,1,6,"35,43",12,Premium,"7,8","4,7","1,0","2,7","6,4","6,1","3,8","4,8","7,4",3,2,"2,6",Em um relacionamento,"4,0",2,"9,9",0,"154,7","2,7",Jogador social,"29,49",0,Leve,"1,0","0,495","0,688"
USR000083,22,Feminino,Estados Unidos,Streamer/Criador de conteudo,Baixa,8,RPG,Mobile,Console,Diamante,"7,3",7,"2,6","9,7","12,5","0,52",11,3,12,"33,95",3,Ultimate,"8,6","2,8","5,3","7,0","4,2","6,6","3,4","7,6","6,8",0,4,"3,3",Em um relacionamento,"4,0",3,"11,4",11,"34,5","9,7",Competidor toxico,"43,65",0,Moderada,"1,0","0,5","0,749"
USR000084,20,Feminino,Outro,Empregado,Média,8,MMORPG,PC,PC high-end,Diamante,"6,5",9,"1,6","9,2","12,4","0,61",1,2,1,"52,74",7,Básica,"5,6","4,0","4,2","8,6","4,1","5,7","3,7","7,6","8,7",0,4,"3,8",Divorciado,"4,0",1,"18,4",4,"171,4","9,1",Jogador social,"35,64",0,Leve,"1,0","0,47","0,622"
USR000085,20,Masculino,Estados Unidos,Estudante,Média,8,FPS,PC e console,Mobile,Prata,"6,6",6,"2,9","9,6","12,5","0,45",0,0,1,"39,97",9,Básica,"8,2","6,1","5,4","5,1","7,1","10,0","4,6","4,9","4,7",2,3,"0,0",Divorciado,"2,77",5,"29,4",7,"93,6","8,7",Busca escape,"47,58",0,Moderada,"1,0","0,73","0,965"
USR000086,23,Nao binario,Japão,Estudante,Média,10,MMORPG,Mobile,Mobile,Diamante,"10,4",9,"3,6","18,5","18,0","0,66",0,2,0,"22,77",9,Básica,"9,3","3,0","5,5","8,1","3,1","5,7","4,3","5,7","6,2",0,2,"2,9",Em um relacionamento,"3,03",6,"30,9",10,"11,2","11,3",Streamer/Criador,"48,78",0,Moderada,"1,0","0,5","0,858"
USR000087,29,Masculino,Reino Unido,Estudante,Média,17,FPS,PC,PC intermediario,Prata,"10,0",11,"3,4","13,8","15,4","0,31",2,2,14,"70,18",18,Premium,"8,8","1,8","7,2","5,7","9,0","5,6","5,9","4,7","6,9",0,2,"2,1",Solteiro,"2,83",6,"15,9",6,"116,5","12,9",Jogador compulsivo,"60,88",1,Severa,"1,0","0,575","0,811"
USR000088,27,Masculino,Reino Unido,Freelancer,Média-alta,15,Estratégia,Console,Console,Platina,"7,8",10,"2,9","15,1","13,0","0,21",0,5,9,"59,11",15,No subscription,"8,1","4,3","6,1","5,6","4,7","7,0","6,8","6,4","5,0",1,3,"0,8",Solteiro,"4,0",3,"23,9",6,"62,6","10,4",Competidor toxico,"47,05",0,Moderada,"1,0","0,69","0,936"
USR000089,13,Masculino,Brasil,Empregado,Média-baixa,1,RPG,Console,Misto,Prata,"6,2",3,"1,5","6,1","7,0","0,5",1,1,0,"39,25",5,No subscription,"7,0","5,0","5,0","7,9","3,7","7,1","3,9","7,5","7,4",2,3,"0,0",Em um relacionamento,"4,0",0,"13,4",0,"16,7","8,8",Busca escape,"30,46",0,Leve,"1,0","0,55","0,845"
USR000090,21,Masculino,Alemanha,Estudante,Média-baixa,9,FPS,PC,Misto,Platina,"3,1",3,"1,0","5,3","4,0","0,42",1,0,0,"22,28",3,Básica,"4,3","8,2","3,1","8,8","7,2","3,6","5,8","8,8","7,4",0,2,"0,0",Solteiro,"3,21",0,"7,1",0,"74,9","5,1",Jogador casual,"29,67",0,Leve,"1,0","0,47","0,868"
USR000091,23,Feminino,Japão,Empregado,Média-baixa,8,Estratégia,Mobile,PC intermediario,Prata,"8,2",6,"2,2","12,7","10,1","0,33",0,2,0,"5,7",0,No subscription,"7,8","7,9","6,3","8,8","5,0","7,9","5,9","6,0","6,0",1,4,"1,8",Casado,"4,0",1,"34,2",8,"116,6","11,3",Streamer/Criador,"41,92",0,Moderada,"1,0","0,69","0,884"
USR000092,18,Feminino,Japão,Empregado,Média-baixa,6,Battle Royale,PC e mobile,Mobile,Diamante,"2,5",4,"1,6","4,2","1,0","0,82",1,0,4,"4,1",5,No subscription,"8,0","4,5","2,1","6,7","5,4","4,2","6,9","6,5","7,8",2,6,"1,6",Solteiro,"4,0",0,"14,4",1,"145,5","3,3",Jogador social,"27,82",0,Leve,"1,0","0,555","0,802"
USR000093,24,Feminino,Estados Unidos,Freelancer,Média,10,Casual,PC e console,PC intermediario,Ouro,"1,6",1,"1,1","1,8","1,9","0,06",0,3,6,"38,25",16,Básica,"4,4","4,3","1,4","9,5","2,5","1,0","2,2","7,8","7,5",4,4,"3,1",Em um relacionamento,"4,0",0,"0,0",4,"44,8","3,1",Busca escape,"12,28",0,Witout addiction,"1,0","0,16","0,455"
USR000094,19,Masculino,Austrália,Estudante,Média,7,Terror,Console,PC high-end,Diamante,"3,1",4,"0,8","5,0","4,6","0,69",0,2,2,"46,55",14,No subscription,"8,3","5,1","1,5","4,7","3,3","6,3","4,5","6,2","7,9",5,3,"1,6",Solteiro,"3,08",2,"3,6",4,"134,7","3,9",Jogador casual,"20,99",0,Leve,"1,0","0,54","0,886"
USR000095,29,Masculino,China,Freelancer,Média-baixa,17,Casual,Console,Mobile,Prata,"3,7",4,"2,2","4,7","4,1","0,28",0,0,0,"0,0",4,No subscription,"7,2","6,4","2,6","8,1","3,4","8,1","5,5","6,4","6,1",1,4,"1,1",Casado,"4,0",1,"25,5",6,"22,8","6,1",Jogador social,"24,75",0,Leve,"1,0","0,68","1,0"
USR000096,20,Feminino,Índia,Estudante,Média,5,Sandbox,Mobile,Mobile,Bronze,"5,6",5,"1,4","6,2","8,8","0,53",16,7,0,"29,28",4,No subscription,"9,0","9,3","6,8","8,5","2,9","8,0","8,1","5,3","7,2",2,2,"1,5",Casado,"3,26",1,"14,1",5,"85,6","9,1",Competidor toxico,"36,46",0,Leve,"1,0","0,805","0,985"
USR000097,27,Masculino,Brasil,Estudante,Alta,15,MOBA,Console,Notebook,Prata,"7,0",7,"1,1","10,7","5,6","0,52",0,3,14,"131,65",37,Básica,"7,1","7,8","5,6","10,0","3,8","7,3","5,2","8,1","8,3",1,3,"1,3",Casado,"3,09",4,"17,7",6,"33,4","8,2",Competidor intenso,"29,86",0,Leve,"1,0","0,625","0,881"
USR000098,40,Masculino,Estados Unidos,Empregado,Média,25,MMORPG,PC,PC intermediario,Bronze,"7,1",8,"2,5","6,1","10,1","0,45",0,0,5,"41,49",4,Premium,"7,5","6,3","4,1","7,2","6,9","5,9","8,2","7,9","5,8",2,3,"1,4",Solteiro,"4,0",6,"17,8",5,"126,5","11,1",Jogador social,"43,71",0,Moderada,"1,0","0,705","0,809"
USR000099,16,Masculino,Alemanha,Empregado,Média,4,Esportes,Console,Console,Sem ranking,"4,3",6,"3,3","6,8","7,1","0,45",1,1,1,"14,98",0,Básica,"7,3","5,5","3,4","7,1","3,8","8,0","3,9","8,9","5,2",0,3,"0,3",Divorciado,"4,0",4,"0,0",9,"129,8","4,7",Jogador casual,"35,46",0,Leve,"1,0","0,595","0,803"
USR000100,25,Masculino,Estados Unidos,Empregado,Média,13,Battle Royale,Console,Mobile,Ouro,"6,4",4,"1,2","7,6","9,6","0,4",2,2,0,"15,94",0,Ultimate,"8,5","3,7","6,5","8,5","2,1","4,4","5,5","6,4","6,5",1,4,"0,9",Em um relacionamento,"4,0",2,"24,5",6,"99,7","9,2",Busca escape,"34,97",0,Leve,"1,0","0,495","0,804"
USR000101,26,Masculino,Canadá,Streamer/Criador de conteudo,Média-alta,14,Sandbox,Console,Mobile,Bronze,"8,2",10,"2,6","12,5","11,3","0,6",3,5,0,"46,49",8,Premium,"8,8","8,1","5,1","7,2","1,4","9,4","5,6","4,8","8,0",0,2,"3,8",Solteiro,"4,0",5,"11,0",10,"10,6","10,4",Jogador compulsivo,"43,61",0,Moderada,"1,0","0,75","0,891"
USR000102,21,Masculino,Estados Unidos,Empregado,Média-baixa,9,FPS,Mobile,Notebook,Platina,"6,5",5,"3,0","10,2","10,7","0,49",0,2,4,"12,15",0,Premium,"7,1","2,7","5,0","9,0","3,5","3,3","2,6","8,3","6,2",1,4,"0,4",Em um relacionamento,"4,0",4,"23,0",5,"129,2","7,7",Busca escape,"41,35",0,Moderada,"1,0","0,295","0,658"
USR000103,24,Masculino,México,Empregado,Média,10,Battle Royale,Mobile,PC high-end,Prata,"2,4",1,"0,5","3,1","4,7","0,46",0,3,0,"28,83",5,Básica,"5,7","2,6","1,0","4,5","3,2","3,4","1,0","4,8","9,2",1,2,"3,4",Em um relacionamento,"4,0",1,"17,1",4,"92,5","3,6",Jogador casual,"18,47",0,Witout addiction,"1,0","0,22","0,639"
USR000104,26,Prefiro nao informar,Alemanha,Desempregado,Média-alta,14,Casual,PC e console,Mobile,Prata,"3,2",6,"0,0","5,1","6,6","0,42",0,0,14,"101,8",16,No subscription,"7,7","4,8","3,3","3,9","6,0","8,3","2,5","6,3","7,8",1,2,"3,9",Em um relacionamento,"4,0",4,"13,1",8,"79,8","4,7",Jogador casual,"29,48",0,Leve,"1,0","0,54","0,873"
USR000105,18,Masculino,Estados Unidos,Empregado,Média-alta,6,Battle Royale,PC,Misto,Ouro,"9,3",10,"4,4","10,4","13,4","0,39",3,2,2,"56,59",12,No subscription,"6,1","10,0","7,1","6,3","4,8","6,6","4,0","5,3","4,1",1,4,"1,2",Prefiro nao informar,"4,0",1,"14,1",5,"47,6","11,3",Jogador compulsivo,"58,05",1,Moderada,"1,0","0,53","0,895"
USR000106,13,Masculino,Brasil,Empregado,Média-baixa,1,MOBA,PC,PC high-end,Ouro,"5,5",6,"1,7","6,7","9,2","0,72",1,0,0,"0,0",4,Premium,"4,5","2,2","3,9","6,1","3,5","5,2","1,7","5,7","6,7",1,2,"3,8",Divorciado,"4,0",3,"8,5",0,"59,4","8,5",Jogador social,"36,04",0,Leve,"1,0","0,345","0,483"
USR000107,29,Masculino,Estados Unidos,Empregado,Média-alta,15,Sandbox,PC e console,Notebook,Prata,"5,6",6,"1,5","7,8","5,3","0,18",2,6,2,"107,11",29,Ultimate,"7,8","6,6","3,2","3,1","7,2","7,9","7,7","8,1","7,9",1,2,"1,0",Prefiro nao informar,"4,0",2,"10,2",4,"94,4","8,0",Competidor toxico,"43,93",0,Moderada,"1,0","0,78","0,768"
USR000108,22,Masculino,Rússia,Streamer/Criador de conteudo,Média-baixa,10,Battle Royale,PC,PC intermediario,Bronze,"9,6",11,"4,3","13,7","11,7","0,6",1,1,2,"0,0",0,No subscription,"8,8","3,7","5,1","5,3","3,8","6,6","5,4","6,9","5,7",1,3,"0,5",Solteiro,"4,0",5,"26,5",9,"98,6","11,3",Competidor intenso,"58,18",1,Moderada,"1,0","0,6","0,716"
USR000109,21,Masculino,Canadá,Estudante,Média-alta,8,MMORPG,Mobile,Mobile,Bronze,"2,3",3,"0,6","2,7","1,3","0,36",0,0,2,"38,3",13,Premium,"9,7","2,9","2,0","8,8","4,6","5,9","6,0","6,6","7,6",3,3,"0,3",Em um relacionamento,"3,04",3,"18,2",1,"5,0","4,5",Jogador casual,"19,49",0,Witout addiction,"1,0","0,595","0,802"
USR000110,28,Masculino,Coréia do Sul,Empregado,Baixa,16,MOBA,Mobile,Console,Mestre,"7,2",9,"1,2","8,9","12,9","0,72",2,8,0,"0,0",5,Básica,"6,8","4,6","5,4","6,7","5,6","2,5","5,1","7,9","6,6",2,0,"3,8",Em um relacionamento,"4,0",2,"6,5",10,"109,2","8,1",Competidor toxico,"45,7",0,Moderada,"1,0","0,38","0,717"
USR000111,18,Masculino,Estados Unidos,Empregado,Média-baixa,6,MMORPG,PC e console,Console,Ouro,"10,5",10,"3,6","16,0","18,2","0,27",1,0,4,"45,57",12,No subscription,"5,5","5,3","7,4","5,4","5,9","4,0","5,8","8,2","5,2",0,5,"5,4",Em um relacionamento,"4,0",5,"25,9",11,"113,5","12,8",Streamer/Criador,"58,53",1,Moderada,"1,0","0,49","0,824"
USR000112,15,Masculino,Canadá,Empregado,Baixa,3,RPG,Mobile,PC intermediario,Mestre,"4,9",7,"0,4","6,4","7,1","0,26",1,1,0,"3,16",0,No subscription,"9,0","4,2","3,2","6,7","4,1","5,5","7,7","5,0","7,7",5,3,"3,6",Solteiro,"4,0",0,"22,1",8,"46,6","6,5",Jogador social,"25,54",0,Leve,"1,0","0,66","0,935"
USR000113,22,Nao binario,Canadá,Empregado,Baixa,10,Casual,PC,Console,Bronze,"7,4",6,"0,7","11,4","14,5","0,73",0,2,0,"1,66",3,Básica,"7,9","4,9","3,2","5,8","6,6","5,9","6,2","4,5","7,0",0,4,"3,5",Solteiro,"4,0",3,"29,0",4,"76,1","9,4",Streamer/Criador,"40,42",0,Moderada,"1,0","0,605","0,846"
USR000114,13,Masculino,Índia,Empregado,Média-baixa,1,MMORPG,Mobile,Misto,Ouro,"8,4",9,"2,4","10,5","15,2","0,53",2,3,0,"0,0",1,Premium,"8,5","5,5","6,6","8,8","3,9","6,8","2,6","5,8","5,1",0,3,"0,7",Solteiro,"4,0",5,"15,1",8,"13,0","12,4",Jogador compulsivo,"40,49",0,Moderada,"1,0","0,47","0,57"
USR000115,16,Feminino,França,Estudante,Média-alta,3,FPS,PC,Mobile,Prata,"6,7",7,"2,3","9,9","8,3","0,71",1,4,7,"58,74",13,Básica,"7,8","3,0","4,1","8,0","3,7","6,1","3,3","8,3","6,7",3,5,"0,2",Solteiro,"2,25",5,"30,5",10,"5,0","7,9",Competidor toxico,"31,4",0,Leve,"1,0","0,47","0,711"
USR000116,18,Masculino,Estados Unidos,Empregado,Média,6,Sandbox,PC,Mobile,Platina,"5,2",10,"0,7","6,3","10,1","0,55",2,0,0,"74,09",15,No subscription,"7,1","4,4","2,3","3,4","10,0","6,2","4,2","4,7","6,2",1,3,"0,7",Em um relacionamento,"4,0",0,"12,1",5,"37,6","8,9",Jogador compulsivo,"40,0",0,Moderada,"1,0","0,52","0,834"
USR000117,20,Masculino,Alemanha,Estudante,Baixa,6,RPG,PC e console,Mobile,Sem ranking,"2,4",3,"0,0","3,3","3,7","0,51",0,4,0,"17,43",1,Básica,"6,1","3,5","2,0","4,2","5,9","5,6","1,0","6,6","8,4",4,5,"3,3",Prefiro nao informar,"3,49",2,"0,0",0,"131,4","4,8",Jogador casual,"31,14",0,Leve,"1,0","0,33","0,851"
USR000118,24,Masculino,Rússia,Desempregado,Média,12,Estratégia,Mobile,Notebook,Mestre,"6,4",10,"1,6","9,6","10,8","0,21",0,2,13,"70,14",8,Premium,"6,2","4,3","4,4","7,8","7,0","4,9","6,0","4,7","7,4",1,5,"2,4",Em um relacionamento,"4,0",4,"15,6",6,"100,5","9,3",Busca escape,"38,8",0,Leve,"1,0","0,545","0,794"
USR000119,21,Masculino,Estados Unidos,Empregado,Média-alta,9,MOBA,PC e mobile,Misto,Diamante,"2,3",1,"1,1","2,9","1,3","0,24",0,0,6,"50,4",0,Premium,"6,8","4,8","1,0","8,3","4,5","5,7","3,1","6,9","7,7",2,0,"1,8",Prefiro nao informar,"4,0",1,"16,5",0,"107,2","3,8",Jogador casual,"18,68",0,Witout addiction,"1,0","0,44","0,779"
USR000120,13,Feminino,Estados Unidos,Estudante,Média,1,RPG,Mobile,PC high-end,Ouro,"7,8",11,"3,8","9,5","12,2","0,71",1,0,7,"49,04",0,Premium,"7,8","2,1","7,9","5,0","7,2","6,0","4,9","2,9","4,8",0,4,"0,9",Prefiro nao informar,"3,12",5,"26,2",8,"94,0","8,1",Busca escape,"59,46",1,Moderada,"1,0","0,39","0,706"
USR000121,25,Feminino,Reino Unido,Empregado,Baixa,13,Casual,Mobile,PC intermediario,Diamante,"3,3",6,"0,4","4,0","7,6","0,5",0,2,2,"22,34",6,Premium,"6,7","5,3","3,4","7,2","1,0","3,4","5,2","7,2","7,4",0,0,"2,7",Em um relacionamento,"4,0",0,"12,3",8,"126,5","5,7",Jogador casual,"23,56",0,Leve,"1,0","0,43","0,798"
USR000122,25,Feminino,Estados Unidos,Empregado,Média-alta,13,MOBA,PC,PC intermediario,Mestre,"5,0",9,"1,7","5,5","10,2","0,81",0,0,8,"79,39",16,No subscription,"6,5","3,2","3,4","7,1","5,1","4,9","5,5","8,5","8,3",1,1,"4,1",Solteiro,"4,0",7,"13,5",3,"22,4","6,7",Busca escape,"36,59",0,Leve,"1,0","0,52","0,698"
USR000123,21,Masculino,Estados Unidos,Empregado,Média,9,Casual,Mobile,PC high-end,Diamante,"9,6",10,"2,5","15,2","17,5","0,95",2,0,6,"57,23",4,No subscription,"8,6","4,4","7,5","7,1","7,4","8,0","3,9","7,5","8,4",2,3,"2,4",Em um relacionamento,"4,0",6,"17,0",8,"112,0","11,0",Streamer/Criador,"50,66",1,Moderada,"1,0","0,595","0,86"
USR000124,14,Masculino,Rússia,Freelancer,Média-baixa,2,MMORPG,PC,PC high-end,Mestre,"6,8",4,"2,0","10,5","8,6","0,44",6,2,7,"20,4",9,Premium,"8,0","4,9","5,9","9,5","3,1","7,0","5,1","7,0","5,9",2,4,"3,6",Casado,"4,0",1,"6,5",10,"239,3","9,1",Competidor intenso,"35,17",0,Leve,"1,0","0,605","0,751"
USR000125,24,Feminino,Rússia,Empregado,Média-baixa,11,Terror,PC,Mobile,Prata,"9,7",9,"3,2","14,0","18,8","0,38",0,2,3,"0,54",4,No subscription,"8,0","2,2","5,9","6,3","6,1","4,8","4,9","6,3","6,1",0,2,"0,7",Em um relacionamento,"4,0",6,"22,6",11,"171,5","12,5",Competidor intenso,"57,77",1,Moderada,"1,0","0,46","0,672"
USR000126,15,Masculino,Índia,Desempregado,Média,3,Terror,Console,PC intermediario,Prata,"5,2",3,"0,9","10,4","3,9","0,36",9,7,8,"36,45",2,Premium,"4,2","4,0","4,5","8,0","4,4","1,6","2,7","7,7","5,8",3,1,"2,3",Solteiro,"4,0",4,"5,9",4,"109,3","6,4",Competidor toxico,"34,58",0,Leve,"1,0","0,215","0,684"
USR000127,27,Masculino,Índia,Desempregado,Média,11,MMORPG,PC,Notebook,Diamante,"5,3",8,"1,4","11,3","9,7","0,5",0,0,13,"13,96",0,Básica,"7,5","6,4","2,6","9,2","2,2","6,3","6,0","7,0","6,6",3,2,"0,6",Em um relacionamento,"4,0",1,"25,2",3,"5,0","6,5",Jogador casual,"26,73",0,Leve,"1,0","0,615","0,976"
USR000128,13,Feminino,Estados Unidos,Estudante,Média,1,Battle Royale,Mobile,PC intermediario,Grao-mestre,"8,1",9,"3,4","14,7","15,9","0,4",1,1,3,"15,07",0,Premium,"5,3","1,0","6,2","9,1","3,1","5,3","1,8","7,6","6,1",3,2,"6,1",Solteiro,"2,71",5,"17,9",2,"96,0","9,5",Streamer/Criador,"48,05",0,Moderada,"1,0","0,355","0,71"
USR000129,24,Nao binario,Índia,Estudante,Média,9,FPS,PC,Mobile,Bronze,"2,0",4,"1,2","2,3","3,8","0,64",0,0,4,"45,65",15,Básica,"5,3","4,0","1,5","5,4","6,5","3,5","5,5","10,0","6,5",2,2,"3,1",Solteiro,"3,01",1,"14,1",10,"82,8","5,4",Jogador casual,"30,79",0,Leve,"1,0","0,45","0,888"
USR000130,27,Masculino,Japão,Empregado,Média,9,MMORPG,PC,Console,Prata,"8,3",9,"2,0","16,6","11,6","0,3",2,0,1,"67,84",3,No subscription,"8,1","4,0","3,8","6,0","6,0","5,4","6,3","3,5","6,9",1,5,"2,9",Em um relacionamento,"4,0",3,"16,9",5,"57,3","11,2",Busca escape,"48,65",0,Moderada,"1,0","0,585","0,815"
USR000131,29,Masculino,Alemanha,Empregado,Média-baixa,17,Casual,PC e mobile,PC high-end,Bronze,"2,5",2,"1,1","3,1","5,6","0,46",1,0,1,"43,21",12,No subscription,"2,3","4,2","1,0","6,5","4,7","2,9","3,4","8,9","6,1",4,0,"1,7",Em um relacionamento,"4,0",0,"2,1",0,"46,2","5,7",Jogador social,"25,23",0,Leve,"0,948","0,315","0,777"
USR000132,24,Masculino,Estados Unidos,Freelancer,Média,12,Sandbox,PC e console,Misto,Platina,"7,2",5,"1,0","12,5","12,3","0,47",5,2,5,"67,76",19,Ultimate,"7,8","6,6","5,0","4,8","6,4","8,3","7,3","5,6","6,6",2,7,"0,0",Solteiro,"4,0",6,"19,4",4,"116,6","10,6",Jogador compulsivo,"44,47",0,Moderada,"1,0","0,78","0,85"
USR000133,21,Masculino,Estados Unidos,Empregado,Média,9,MOBA,PC,Console,Prata,"4,9",7,"3,5","5,6","7,2","0,7",0,0,2,"29,7",5,No subscription,"6,9","6,1","4,8","6,0","4,2","6,6","5,0","6,9","7,1",1,1,"0,4",Prefiro nao informar,"4,0",3,"20,7",3,"128,6","7,0",Jogador casual,"41,99",0,Moderada,"1,0","0,58","0,827"
